ID	Gene Symbol
merck2-AA843508_a_at	LAPTM4B
merck2-AA843660_at	PTH
merck2-AA853996_at	
merck2-AA860312_at	GINS1
merck2-AA860422_x_at	
merck2-AA860771_a_at	TSPAN31
merck2-AA861047_at	PDXK
merck2-AA861047_x_at	PDXK
merck2-AA864534_at	
merck2-AA868205_at	B4GALNT3
merck2-AA868500_at	
merck2-AA868902_at	FKBP5
merck2-AA872311_at	
merck2-AA873261_at	
merck2-AA873261_x_at	
merck2-AA873531_at	
merck2-AA873531_x_at	
merck2-AA876220_a_at	CAPZB
merck2-AA877619_s_at	
merck2-AA878516_at	PUS10
merck2-AA883551_at	METTL21A
merck2-AA883551_x_at	METTL21A
merck2-AA884338_at	ADAT2
merck2-AA885509_at	PTPN21
merck2-AA886273_at	
merck2-AA886921_at	ZNF512B
merck2-AA886986_at	BLVRA
merck2-AA887211_at	
merck2-AA888002_at	ARHGEF37
merck2-AA902118_at	
merck2-AA902371_at	
merck2-AA902600_at	PAM
merck2-AA902949_at	GLIPR1
merck2-AA903244_at	
merck2-AA905697_at	
merck2-AA906494_x_at	WDFY3
merck2-AA909038_at	
merck2-AA909269_at	AFF2
merck2-AA909648_at	
merck2-AA909818_at	
merck2-AA910310_at	LOC100507267
merck2-AA911031_at	
merck2-AA913220_at	ARIH2
merck2-AA915919_at	
merck2-AA916609_at	
merck2-AA916835_at	DNAL1
merck2-AA921860_a_at	
merck2-AA922274_at	
merck2-AA922696_at	MDGA1
merck2-AA922894_at	SPATA5
merck2-AA927036_at	
merck2-AA927291_s_at	NUDT3
merck2-AA927590_at	
merck2-AA927776_a_at	ZNF516
merck2-AA928204_at	
merck2-AA933776_at	LOC100507493
merck2-AA934899_at	PPM1A
merck2-AA937590_a_at	DAPK2
merck2-AA937590_at	
merck2-AA938182_at	CCNG2
merck2-AA939275_at	ACACA
merck2-AA946673_at	
merck2-AA946677_at	
merck2-AA946877_at	
merck2-AA947213_at	MTPAP
merck2-AA947758_at	B3GALTL
merck2-AA962226_a_at	PRKAG2
merck2-AA962843_at	PPIP5K1
merck2-AA968441_at	
merck2-AA969378_at	
merck2-AA969940_at	
merck2-AA969940_x_at	
merck2-AA971088_at	LRRC41
merck2-AA973103_at	
merck2-AA974211_at	
merck2-AA975393_a_at	FGFR2
merck2-AA975393_at	
